Filename,Category,Reference,SHA 1,MD5,Hash (SHA256)
RCSMacOsDropper.exe,A,https://www.virustotal.com/en/file/a72dc5010dc21c3bc9075c74fc7b87f0f89cfbeb1b1c4cdab06db4262d84969d/analysis/,fb9fddb2b74e62d2e949520de23d6a2a2a16e576,f12ed5b550d6856ccb501f9ad65f956b,a72dc5010dc21c3bc9075c74fc7b87f0f89cfbeb1b1c4cdab06db4262d84969d
RCSMacOsPolymer.exe,A,https://www.virustotal.com/en/file/71fe815f897877e69e4a37844a6d2feb40fdecaed1dd55b07472234e87e22767/analysis/,f19e73120166b637ee7a941540979efaa4a284b5,7ebc36666f11c4285ee68501dc3c1b5a,71fe815f897877e69e4a37844a6d2feb40fdecaed1dd55b07472234e87e22767
RCSMobile_2011032101-debug.dll,A,https://www.virustotal.com/en/file/6d22dbb5285391be5dcce7a2aed9f14b7ef57de90fd5b02d4bd7ba07d4a5d455/analysis/,9cfa6d066024a458e133fb9cfbafbdfa0b1c64f9,63de9e55e07f81e6d38eb859483b103d,6d22dbb5285391be5dcce7a2aed9f14b7ef57de90fd5b02d4bd7ba07d4a5d455
rcsmobile-2012013101.dll,A,https://www.virustotal.com/en/file/5e75e0babe92f1a7691a43641fadb7be84d4d273b8bcc6cce5dfeb5523a6b709/analysis/,13b20e7945eb7342540b5fab2eb2f03063518239,0df77ac381a54c34bf3f12d13f516be1,5e75e0babe92f1a7691a43641fadb7be84d4d273b8bcc6cce5dfeb5523a6b709
rcs-money-2014120801.exe,A,https://www.virustotal.com/en/file/654e7dd64ab4ef04ea22f63fb0497346fb8d484a488be428d78d32a17654604d/analysis/,ab57daff9d93e71bcdf7f4b356089d3ae681602b,c89f6c16e581e975a12ec19191a766d1,654e7dd64ab4ef04ea22f63fb0497346fb8d484a488be428d78d32a17654604d
rcs-money-9.4.0.exe,A,https://www.virustotal.com/en/file/6e678dc4d933b186557f671913fb2fada37f342d5007dac0b745ca718d2e7405/analysis/,b0e59fc1d41f66919fc25e454d26d9fd004e03bb,b0d0828a54cd184137de8d0deb698119,6e678dc4d933b186557f671913fb2fada37f342d5007dac0b745ca718d2e7405
rcs-ocr-2014120801.exe,CD,Remote control system related,90c004bd8d49231a04c5f2087afd9afca73a0b00,0d3d40766dd51072fb15b5e99dc9103c,4846f3d91b3ebb54b5a8739f6ac5baae2ae28d8e363b87ed6fd37e1a012f32ec
rcs-ocr-9.4.0.exe,A,https://www.virustotal.com/en/file/cba8e646e951dbfde33daddc1ad6429814dad1ae1786c886948ce9ed7029f487/analysis/,41b844cd42208eab05e203b5e22712eaf568d133,768ee422a113dc1ae0310f6bc4d7c66d,cba8e646e951dbfde33daddc1ad6429814dad1ae1786c886948ce9ed7029f487
rcs-setup-2014120801.exe,CD,Remote control system related,ecd0d9842e482c3f33051a04de2a746c94532cf8,48946b57b2dc7fea9de4f4e82411a6e7,b292df8f088af93ab479c47c8afef0144e952a742e9d136b078ea07fa691e328
rcs-setup-2014121601.exe,CD,Remote constrol system related,90200a689e426745a286b46e69b447006900f671,0c2329c8434221fb54ce3549e2748820,9a6837504d6c41409008c3b50bbe006d5cc167e92f6f63a62320a78417307fa5
